gd_discipline;gd_discipline_lib;discipline;discipline_lib;sect_disciplinaire;sect_disciplinaire_lib;serie_bac;serie_bac_lib;age_au_bac;age_au_bac_lib;sexe;sexe_lib;mention_bac;mention_bac_lib;cohorte_passage;effectif_neobacheliers_passage;passage_en_l2_1_an;redoublement_en_l1;passage_en_l2_2_ans;passage_en_l2_1_2_ans;reorientation_en_dut_1_an;reorientation_en_dut_2_ans;reorientation_en_dut;cohorte_reussite;effectif_neobacheliers_reussite;reussite_3_ans;reussite_4_ans;reussite_3_4_ans
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;32;Psychologie;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;26.0;6.0;9.0;4.0;10.0;2.0;0.0;2.0;2012;4.0;1.0;0.0;1.0
DSA;Droit, gestion, économie, AES;03;Administration économique et sociale;40;Administration économique et sociale;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;238.0;15.0;78.0;19.0;34.0;4.0;0.0;4.0;2012;157.0;7.0;11.0;18.0
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;17;Sciences du langage, linguistique;1;BAC L;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;4.0;3.0;1.0;0.0;3.0;0.0;0.0;0.0;2012;4.0;0.0;1.0;1.0
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;17;Sciences du langage, linguistique;1;BAC L;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;9.0;5.0;2.0;0.0;5.0;1.0;0.0;1.0;2012;10.0;1.0;0.0;1.0
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;17;Sciences du langage, linguistique;2;BAC ES;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;13.0;10.0;1.0;1.0;11.0;0.0;0.0;0.0;2012;6.0;1.0;1.0;2.0
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;17;Sciences du langage, linguistique;2;BAC ES;R2;En retard de plus d'un an;2;Femme;P;Passable deuxième groupe;2014;4.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;2012;11.0;2.0;1.0;3.0
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;17;Sciences du langage, linguistique;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;1.0;0.0;0.0;0.0
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;18;Langues et littératures anciennes;2;BAC ES;R1;En retard d'un an;2;Femme;B;Bien;2014;;;;;;;;;2012;1.0;1.0;0.0;1.0
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;18;Langues et littératures anciennes;3;BAC S;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;;;;;;;;;2012;5.0;2.0;1.0;3.0
LLSH;Lettres, langues et sciences humaines;04;Lettres, sciences du langage, arts;19;Langues et littératures françaises;1;BAC L;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;13.0;3.0;8.0;3.0;6.0;0.0;1.0;1.0;2012;23.0;4.0;2.0;6.0
