gd_discipline;gd_discipline_lib;discipline;discipline_lib;sect_disciplinaire;sect_disciplinaire_lib;serie_bac;serie_bac_lib;age_au_bac;age_au_bac_lib;sexe;sexe_lib;mention_bac;mention_bac_lib;cohorte_passage;effectif_neobacheliers_passage;passage_en_l2_1_an;redoublement_en_l1;passage_en_l2_2_ans;passage_en_l2_1_2_ans;reorientation_en_dut_1_an;reorientation_en_dut_2_ans;reorientation_en_dut;cohorte_reussite;effectif_neobacheliers_reussite;reussite_3_ans;reussite_4_ans;reussite_3_4_ans
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;42;Mathématique et informatique;3;BAC S;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2012;4.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;42;Mathématique et informatique;4;BAC STMG;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;3.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;2012;1.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;42;Mathématique et informatique;4;BAC STMG;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;;;;
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;42;Mathématique et informatique;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;3.0;1.0;1.0;2.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;42;Mathématique et informatique;6;BAC professionnel;R4;Non pris en compte;1;Homme;B;Bien;2014;;;;;;;;;2012;1.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;43;Physique et chimie;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;6.0;2.0;3.0;3.0;5.0;0.0;0.0;0.0;2012;1.0;1.0;0.0;1.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;43;Physique et chimie;6;BAC professionnel;R4;Non pris en compte;1;Homme;C;Assez bien;2014;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;3.0;1.0;0.0;1.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;68;Pluridisciplinaire sciences fondamentales et applications;2;BAC ES;R1;En retard d'un an;2;Femme;P;Passable deuxième groupe;2014;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2012;;;;
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;68;Pluridisciplinaire sciences fondamentales et applications;3;BAC S;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;51.0;43.0;2.0;2.0;45.0;1.0;0.0;1.0;2012;40.0;23.0;0.0;23.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;68;Pluridisciplinaire sciences fondamentales et applications;3;BAC S;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;123.0;50.0;48.0;31.0;81.0;3.0;0.0;3.0;2012;83.0;21.0;13.0;34.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;68;Pluridisciplinaire sciences fondamentales et applications;3;BAC S;R1;En retard d'un an;2;Femme;A;Très bien;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;;;;
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;68;Pluridisciplinaire sciences fondamentales et applications;3;BAC S;R1;En retard d'un an;2;Femme;B;Bien;2014;3.0;2.0;0.0;0.0;2.0;1.0;0.0;1.0;2012;2.0;0.0;0.0;0.0
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;68;Pluridisciplinaire sciences fondamentales et applications;6;BAC professionnel;R4;Non pris en compte;2;Femme;C;Assez bien;2014;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2012;;;;
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;70;Pluridisciplinaire sciences;1;BAC L;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;;;;
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;33;Sociologie, démographie;3;BAC S;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;15.0;5.0;2.0;3.0;8.0;0.0;0.0;0.0;2012;5.0;3.0;0.0;3.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;33;Sociologie, démographie;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;C;Assez bien;2014;10.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;2012;10.0;2.0;1.0;3.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;33;Sociologie, démographie;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;42.0;5.0;11.0;2.0;7.0;0.0;1.0;1.0;2012;30.0;4.0;1.0;5.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;34;Sciences de l'éducation;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;25.0;18.0;4.0;4.0;22.0;0.0;0.0;0.0;2012;3.0;1.0;0.0;1.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;1;BAC L;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;5.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;2012;5.0;3.0;0.0;3.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;1;BAC L;R2;En retard de plus d'un an;2;Femme;P;Passable deuxième groupe;2014;5.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2012;13.0;2.0;3.0;5.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;2;BAC ES;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;43.0;15.0;14.0;9.0;24.0;0.0;0.0;0.0;2012;14.0;0.0;3.0;3.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;2;BAC ES;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;50.0;23.0;9.0;6.0;29.0;0.0;0.0;0.0;2012;36.0;13.0;4.0;17.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;2;BAC ES;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2012;2.0;2.0;0.0;2.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;3;BAC S;R1;En retard d'un an;2;Femme;B;Bien;2014;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2012;2.0;2.0;0.0;2.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;35;Sciences de l'information et la communication;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;Q;Inconnue;2014;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2012;1.0;0.0;0.0;0.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;66;Pluridisciplinaire sciences humaines et sociales;1;BAC L;R1;En retard d'un an;2;Femme;C;Assez bien;2014;14.0;8.0;3.0;1.0;9.0;0.0;0.0;0.0;2012;39.0;20.0;8.0;28.0
LLSH;Lettres, langues et sciences humaines;06;Sciences humaines et sociales;66;Pluridisciplinaire sciences humaines et sociales;3;BAC S;R1;En retard d'un an;1;Homme;B;Bien;2014;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2012;;;;
